"","Cell","Batch","Group","ExpLibSize","Step"
"Cell1","Cell1","Batch1","Path3",20773.2278553588,583
"Cell9","Cell9","Batch1","Path1",22553.9285793561,977
"Cell11","Cell11","Batch1","Path2",21104.9759625611,666
"Cell12","Cell12","Batch1","Path3",22326.3012849765,839
"Cell14","Cell14","Batch1","Path2",20994.1658333727,518
"Cell15","Cell15","Batch1","Path1",21060.5724008536,630
"Cell18","Cell18","Batch1","Path1",21396.958428015,926
"Cell21","Cell21","Batch1","Path3",22334.1190150497,464
"Cell22","Cell22","Batch1","Path3",22749.755940662,616
"Cell24","Cell24","Batch1","Path3",21532.2246842352,872
"Cell25","Cell25","Batch1","Path1",19586.3275076175,964
"Cell30","Cell30","Batch1","Path1",21280.7910158616,906
"Cell31","Cell31","Batch1","Path2",20083.7118535209,998
"Cell35","Cell35","Batch1","Path2",21495.909559665,774
"Cell36","Cell36","Batch1","Path3",20846.1822817492,462
"Cell37","Cell37","Batch1","Path3",22505.7682932163,864
"Cell38","Cell38","Batch1","Path2",21536.6620150681,802
"Cell40","Cell40","Batch1","Path3",23202.5606557095,893
"Cell43","Cell43","Batch1","Path1",22026.5706364685,555
"Cell44","Cell44","Batch1","Path3",24625.5362042565,701
"Cell45","Cell45","Batch1","Path1",23353.0486402785,444
"Cell47","Cell47","Batch1","Path3",21646.3767508717,901
"Cell48","Cell48","Batch1","Path1",21517.0518663845,833
"Cell49","Cell49","Batch1","Path2",22898.4542187382,792
"Cell55","Cell55","Batch1","Path3",23181.4153271414,928
"Cell56","Cell56","Batch1","Path1",22175.5184795684,958
"Cell57","Cell57","Batch1","Path1",23108.6657520809,684
"Cell58","Cell58","Batch1","Path3",21470.4780714641,919
"Cell60","Cell60","Batch1","Path2",22375.1506334281,683
"Cell61","Cell61","Batch1","Path2",21437.704785581,851
"Cell62","Cell62","Batch1","Path2",20938.0360943938,622
"Cell63","Cell63","Batch1","Path3",22448.2029785217,503
"Cell64","Cell64","Batch1","Path2",21607.4908108315,691
"Cell66","Cell66","Batch1","Path2",20299.6740610808,659
"Cell72","Cell72","Batch1","Path2",24155.2336283517,569
"Cell73","Cell73","Batch1","Path3",23247.3503079375,494
