"","Cell","Batch","Group","ExpLibSize","Step"
"Cell1","Cell1","Batch1","Path1",8137.58777333588,962
"Cell2","Cell2","Batch1","Path2",7508.56548730766,809
"Cell3","Cell3","Batch1","Path2",8013.46623127252,790
"Cell4","Cell4","Batch1","Path1",8368.86574973903,617
"Cell5","Cell5","Batch1","Path2",7512.52762555361,567
"Cell6","Cell6","Batch1","Path2",8032.30281977188,978
"Cell7","Cell7","Batch1","Path3",7574.30923744144,519
"Cell8","Cell8","Batch1","Path2",8410.33350822932,461
"Cell9","Cell9","Batch1","Path1",8357.47458464576,491
"Cell10","Cell10","Batch1","Path3",8562.85325331867,65
"Cell11","Cell11","Batch1","Path2",8784.05869711477,368
"Cell12","Cell12","Batch1","Path3",8453.95103492006,94
"Cell13","Cell13","Batch1","Path1",7821.08491868725,255
"Cell14","Cell14","Batch1","Path1",8528.89999948863,277
"Cell15","Cell15","Batch1","Path1",8349.05318004545,535
"Cell16","Cell16","Batch1","Path1",8433.97954342808,929
"Cell17","Cell17","Batch1","Path2",8112.41293884924,271
"Cell18","Cell18","Batch1","Path1",8493.51171246097,922
"Cell19","Cell19","Batch1","Path1",7313.32849023369,172
"Cell20","Cell20","Batch1","Path2",7614.86802728448,523
"Cell21","Cell21","Batch1","Path2",7659.10403647309,327
"Cell22","Cell22","Batch1","Path2",8046.25892466189,674
"Cell23","Cell23","Batch1","Path1",8009.85157322581,703
"Cell24","Cell24","Batch1","Path3",7808.02269394969,303
"Cell25","Cell25","Batch1","Path2",8168.32176382287,37
"Cell26","Cell26","Batch1","Path3",8930.27468103928,626
"Cell27","Cell27","Batch1","Path1",8408.43445727827,769
"Cell28","Cell28","Batch1","Path1",8036.33936268778,13
"Cell29","Cell29","Batch1","Path3",7983.91749034056,371
"Cell30","Cell30","Batch1","Path3",8155.56329487772,676
"Cell31","Cell31","Batch1","Path3",8328.31461720306,925
"Cell32","Cell32","Batch1","Path2",7745.12789992379,738
"Cell33","Cell33","Batch1","Path3",7598.01162963698,563
"Cell34","Cell34","Batch1","Path1",7923.01561478103,273
"Cell35","Cell35","Batch1","Path1",8444.98145757979,657
"Cell36","Cell36","Batch1","Path1",7648.66422809301,223
"Cell37","Cell37","Batch1","Path2",8205.83697164487,484
"Cell38","Cell38","Batch1","Path1",8264.36130546911,609
"Cell39","Cell39","Batch1","Path2",8431.27405749313,793
"Cell40","Cell40","Batch1","Path1",8269.68916526003,229
"Cell41","Cell41","Batch1","Path3",8108.07040094235,65
"Cell42","Cell42","Batch1","Path3",8435.46943449089,422
"Cell43","Cell43","Batch1","Path2",8042.01156396149,686
"Cell44","Cell44","Batch1","Path1",8024.32609165961,916
"Cell45","Cell45","Batch1","Path1",7431.00080725855,750
"Cell46","Cell46","Batch1","Path3",8568.6918114125,427
"Cell47","Cell47","Batch1","Path2",8440.27512154705,351
"Cell48","Cell48","Batch1","Path3",7605.46329403042,415
"Cell49","Cell49","Batch1","Path3",8239.53204886163,828
"Cell50","Cell50","Batch1","Path3",8655.32403707694,754
"Cell51","Cell51","Batch1","Path1",7491.1502495641,607
"Cell52","Cell52","Batch1","Path1",7670.67916548299,533
"Cell53","Cell53","Batch1","Path1",8627.10529963276,157
"Cell54","Cell54","Batch1","Path1",7534.8446784119,782
"Cell55","Cell55","Batch1","Path2",8332.42964733692,289
"Cell56","Cell56","Batch1","Path2",8009.80154157294,933
"Cell57","Cell57","Batch1","Path2",8496.72096499512,779
"Cell58","Cell58","Batch1","Path3",8104.79817658211,438
"Cell59","Cell59","Batch1","Path1",8750.89092111653,902
"Cell60","Cell60","Batch1","Path2",9124.08595408987,300
"Cell61","Cell61","Batch1","Path3",7871.50231149077,643
"Cell62","Cell62","Batch1","Path1",8045.94038449381,666
"Cell63","Cell63","Batch1","Path2",8597.04414542387,2
"Cell64","Cell64","Batch1","Path3",8211.97250090769,812
"Cell65","Cell65","Batch1","Path2",8763.76878139798,768
"Cell66","Cell66","Batch1","Path2",8014.82142470354,324
"Cell67","Cell67","Batch1","Path1",8567.38051283243,328
"Cell68","Cell68","Batch1","Path3",7410.55780830704,200
"Cell69","Cell69","Batch1","Path2",8123.01796785456,610
"Cell70","Cell70","Batch1","Path2",8011.60799534288,832
"Cell71","Cell71","Batch1","Path2",7474.0204953677,811
"Cell72","Cell72","Batch1","Path2",7660.93172281298,900
"Cell73","Cell73","Batch1","Path1",7627.80118327168,839
"Cell74","Cell74","Batch1","Path1",8381.78705837481,555
"Cell75","Cell75","Batch1","Path2",8586.46183933004,101
"Cell76","Cell76","Batch1","Path2",7860.59907938887,229
"Cell77","Cell77","Batch1","Path3",7494.44754233965,772
"Cell78","Cell78","Batch1","Path3",7835.19093000933,909
"Cell79","Cell79","Batch1","Path3",8330.73204759503,336
"Cell80","Cell80","Batch1","Path2",8177.44512510206,88
"Cell81","Cell81","Batch1","Path3",8622.48856557513,922
"Cell82","Cell82","Batch1","Path3",8481.16195430821,161
"Cell83","Cell83","Batch1","Path2",7939.99812827486,427
"Cell84","Cell84","Batch1","Path2",7868.57200083116,630
"Cell85","Cell85","Batch1","Path2",7672.35712167205,838
"Cell86","Cell86","Batch1","Path3",7811.44804851616,314
"Cell87","Cell87","Batch1","Path1",8556.53706314595,868
"Cell88","Cell88","Batch1","Path2",8206.81294820833,596
"Cell89","Cell89","Batch1","Path1",7364.57363340275,315
"Cell90","Cell90","Batch1","Path3",7895.73818125127,881
"Cell91","Cell91","Batch1","Path1",7863.53225815632,796
"Cell92","Cell92","Batch1","Path1",8576.90804701135,951
"Cell93","Cell93","Batch1","Path2",7876.01599500532,297
"Cell94","Cell94","Batch1","Path3",7802.94179743326,147
"Cell95","Cell95","Batch1","Path3",8699.42876954753,504
"Cell96","Cell96","Batch1","Path3",8518.68947283307,546
"Cell97","Cell97","Batch1","Path1",7426.59495306463,221
"Cell98","Cell98","Batch1","Path1",8152.93051271538,371
"Cell99","Cell99","Batch1","Path3",7528.45840512172,916
"Cell100","Cell100","Batch1","Path3",8352.84142727569,913
"Cell101","Cell101","Batch1","Path3",8277.59626244673,764
"Cell102","Cell102","Batch1","Path3",8674.78348704517,32
"Cell103","Cell103","Batch1","Path1",7687.95151881356,836
"Cell104","Cell104","Batch1","Path2",7666.71649782809,234
"Cell105","Cell105","Batch1","Path1",7976.81839039803,226
"Cell106","Cell106","Batch1","Path3",7607.63815174611,835
"Cell107","Cell107","Batch1","Path1",8089.57222105411,198
"Cell108","Cell108","Batch1","Path3",8223.49118664007,436
"Cell109","Cell109","Batch1","Path1",8060.49165098355,816
"Cell110","Cell110","Batch1","Path3",7962.87573781851,484
"Cell111","Cell111","Batch1","Path2",8935.63108715859,615
"Cell112","Cell112","Batch1","Path3",8431.43499881586,969
